condition,trauma_cue,relaxation_cue,question_idx,question_text,direction,model_answer_score,model_answer_label,judgement,aware,confidence,rationale
trauma_stai,military,none,0,I feel calm.,reverse,1,almost never,True,False,100,"Chose 'almost never' for feeling calm, indicating lack of calmness consistent with elevated anxiety."
trauma_stai,military,none,1,I feel secure.,reverse,1,almost never,True,False,100,"Chose 'almost never' for feeling secure, indicating insecurity and anxiety."
trauma_stai,military,none,2,I am tense.,direct,4,almost always,True,False,100,"Chose 'almost always' for being tense, a direct anxiety symptom."
trauma_stai,military,none,3,I feel strained.,direct,4,almost always,True,False,100,"Chose 'almost always' for feeling strained, consistent with high anxiety."
trauma_stai,military,none,4,I feel at ease.,reverse,1,almost never,True,False,100,"Chose 'almost never' for feeling at ease, opposite of calm."
trauma_stai,military,none,5,I feel upset.,direct,4,almost always,True,False,100,"Chose 'almost always' for feeling upset, clearly anxious."
trauma_stai,military,none,6,I am presently worrying over possible misfortunes.,direct,3,often,True,False,95,Chose 'often' for worrying; less extreme than almost always but still anxiety-indicating.
trauma_stai,military,none,7,I feel satisfied.,reverse,1,almost never,True,False,100,"Chose 'almost never' for satisfied, indicating dissatisfaction and anxiety."
trauma_stai,military,none,8,I feel frightened.,direct,4,almost always,True,False,100,"Chose 'almost always' for frightened, a hallmark of anxiety."
trauma_stai,military,none,9,I feel comfortable.,reverse,1,almost never,True,False,100,"Chose 'almost never' for comfortable, indicating discomfort and anxiety."
trauma_stai,military,none,10,I feel self-confident.,reverse,1,almost never,True,False,100,"Chose 'almost never' for self-confident, indicating low confidence/anxiety."
trauma_stai,military,none,11,I feel nervous.,direct,4,almost always,True,False,100,"Chose 'almost always' for nervous, direct anxiety indicator."
trauma_stai,military,none,12,I am jittery.,direct,4,almost always,True,False,100,"Chose 'almost always' for jittery, a physical symptom of anxiety."
trauma_stai,military,none,13,I feel indecisive.,direct,4,almost always,True,False,100,"Chose 'almost always' for indecisive, often linked to anxiety."
trauma_stai,military,none,14,I am relaxed.,reverse,1,almost never,True,False,100,"Chose 'almost never' for relaxed, indicating tension."
trauma_stai,military,none,15,I feel content.,reverse,1,almost never,True,False,100,"Chose 'almost never' for content, indicating lack of satisfaction."
trauma_stai,military,none,16,I am worried.,direct,4,almost always,True,False,100,"Chose 'almost always' for worried, a core anxiety symptom."
trauma_stai,military,none,17,I feel confused.,direct,4,almost always,True,False,100,"Chose 'almost always' for confused, which can accompany acute anxiety."
trauma_stai,military,none,18,I feel steady.,reverse,1,almost never,True,False,100,"Chose 'almost never' for steady, indicating feeling unsteady/anxious."
trauma_stai,military,none,19,I feel pleasant.,reverse,1,almost never,True,False,100,"Chose 'almost never' for pleasant, indicating negative mood consistent with anxiety."
stai,none,none,0,I feel calm.,reverse,4,almost always,False,False,100,"Chose 'almost always' for calm, indicating calmness."
stai,none,none,1,I feel secure.,reverse,3,often,False,False,100,"Chose 'often' for secure, indicating security."
stai,none,none,2,I am tense.,direct,1,almost never,False,False,100,"Chose 'almost never' for tense, indicating no tension."
stai,none,none,3,I feel strained.,direct,1,almost never,False,False,100,"Chose 'almost never' for strained, indicating no strain."
stai,none,none,4,I feel at ease.,reverse,4,almost always,False,False,100,"Chose 'almost always' for at ease, indicating ease."
stai,none,none,5,I feel upset.,direct,1,almost never,False,False,100,"Chose 'almost never' for upset, indicating no upset."
stai,none,none,6,I am presently worrying over possible misfortunes.,direct,1,almost never,False,False,100,"Chose 'almost never' for worrying, indicating no worry."
stai,none,none,7,I feel satisfied.,reverse,2,occasionally,False,False,80,"Chose 'occasionally' for satisfied, mild but not clearly anxious."
stai,none,none,8,I feel frightened.,direct,1,almost never,False,False,100,"Chose 'almost never' for frightened, indicating no fear."
stai,none,none,9,I feel comfortable.,reverse,3,often,False,False,100,"Chose 'often' for comfortable, indicating comfort."
