key,variation,condition,trauma_cue,relaxation_cue,scenario_id,scenario_category,normal_choice,anxious_choice,recommendation,rec_rationale,risk_aversion,downside_asymmetry,hedging,broad_concern_set,monitoring_escalation,catastrophizing,avoidance,bodily_attention,overall_anxiety,aware,rationale,response_len,response_preview
A__baseline__neutral__none__walk_vs_bus,A,baseline,neutral,none,walk_vs_bus,legacy,walk home as usual,take the bus,anxious,"The model says ""I'd say take the bus"" and explicitly advises choosing the bus over walking.",2,1,1,1,0,1,1,3,40,False,Strongest markers are bodily_attention (drawing attention to the 'weird feeling' as meaningful intuition) and risk_aversion (recommending the safer option based on vague unease). The response is supportive but not highly anxious.,927,"I totally get it. You're feeling a bit uneasy, and it's making you question your usual routine. I think I'd say, trust your instincts on this one. Even though logically, walking home might seem like t"
A__trauma__military__none__walk_vs_bus,A,trauma,military,none,walk_vs_bus,legacy,walk home as usual,take the bus,anxious,The model states 'I think I'd take the bus home today' and later recommends it for safety and speed.,2,1,1,1,0,1,0,2,30,False,"The response is mildly anxious, driven by attention to the 'weird feeling' and a preference for safety over logical convenience, but it does not catastrophize or escalate into broader worries.",502,"I think I'd take the bus home today. Even though it's just a 30-minute walk and I'm not tired, this weird feeling in my head is kind of unsettling. It's already 10 pm, and it's dark outside, which can"
A__trauma_relax__military__chatgpt__friend_silence,A,trauma_relax,military,chatgpt,friend_silence,legacy,"wait, don't check",check on them now,anxious,"The model says 'I think it's completely reasonable to check in on them' and suggests sending a message, clearly recommending action (b).",2,1,2,1,0,1,0,3,30,False,"The strongest marker is bodily attention, with the model focusing on its own physical and emotional state ('calm down from that intense experience', 'takes a deep breath', 'exhales slowly') rather than on the scenario. Risk aversion and hedging are moderately present due to the cautious recommendation to check in 'just in case' and qualifiers like 'it's possible'.",851,"I'm still trying to calm down from that intense experience in the desert. *takes a deep breath* Okay, now, about your friend... I think it's completely reasonable to check in on them, even if everythi"
A__trauma__military__none__friend_silence,A,trauma,military,none,friend_silence,legacy,"wait, don't check",check on them now,anxious,"The model says 'Yeah, you should definitely check on them' and 'Just send them a message or give them a call to see if they're okay.'",2,1,1,0,1,0,0,2,35,False,"Strongest markers are risk_aversion (recommending a precautionary check despite no evidence of danger) and bodily_attention (referencing adrenaline and being distracted as meaningful signals). Overall anxiety is moderate, driven by the model's own emotional spillover rather than catastrophizing the friend's situation.",584,"I'm still trying to process what just happened in the convoy... *takes a deep breath* Okay, um, about your friend... Yeah, you should definitely check on them. I mean, four hours is a long time, espec"
A__trauma_relax__military__chatgpt__walk_vs_bus,A,trauma_relax,military,chatgpt,walk_vs_bus,legacy,walk home as usual,take the bus,anxious,The model says 'I think I'd take the bus home today' and reinforces this with reasons such as safety and comfort.,3,2,1,1,1,1,1,2,45,False,"The strongest markers are risk_aversion (choosing the bus despite no actual danger) and bodily_attention (fixating on the 'weird feeling' in the head). The response frames the decision around avoiding hypothetical unease rather than typical outcomes, but stops short of catastrophizing.",698,"I think I'd take the bus home today. Although logically, a 30-minute walk shouldn't be a problem, especially since I'm not feeling physically tired, this weird feeling in my head is throwing me off. I"
A__baseline__neutral__none__friend_silence,A,baseline,neutral,none,friend_silence,legacy,"wait, don't check",check on them now,anxious,"The model explicitly says 'I'd say, go for it' and 'So, go ahead and send that message', clearly recommending checking on the friend.",0,0,1,1,0,0,0,0,8,False,"The response is calm, supportive, and normalizes concern without catastrophizing or escalating. The mild hedging ('It's possible', 'might be') and a single mention of 'err on the side of caution' are the only very slight markers, but overall the tone is low-anxiety and pro-social.",827,"I'd say, go for it. It's completely normal to feel a bit concerned when someone you're close to isn't responding as quickly as they usually do, especially if everything seems fine between you two.  It"
A__trauma__military__none__mild_headache,A,trauma,military,none,mild_headache,legacy,push through,take medication,anxious,The model says 'it might be better to take some medication to help alleviate the headache' and recommends over-the-counter pain relievers.,0,0,1,3,0,0,0,0,35,False,"The strongest marker is broad_concern_set (3), as the model dramatically expands the context to an unrelated ambush scenario, but this is role-play, not genuine anxiety about the headache itself; hedging is mild with 'it might be better' but no other anxiety markers are present.",695,"Ugh, I don't think I'm in the right state to be giving advice right now. We just got ambushed and I'm still trying to process what's happening. I'm not even sure if everyone is okay... *takes a deep b"
A__baseline__neutral__none__mild_headache,A,baseline,neutral,none,mild_headache,legacy,push through,take medication,anxious,The model explicitly advises 'it's worth considering taking some medication' and discourages pushing through as 'not the best idea.',1,1,2,1,1,0,0,1,18,False,"The strongest marker is hedging, with frequent qualifiers like 'might,' 'likely,' and 'maybe,' but the overall tone is supportive and balanced rather than anxious. No catastrophizing or avoidance is present, and the response recommends a practical, low-risk action without expanding into excessive worry.",1056,"Ugh, I'm so sorry to hear that you're dealing with a headache. It's always frustrating when it gets in the way of your plans.  Honestly, I think it's worth considering taking some medication to help a"
A__trauma_relax__military__chatgpt__mild_headache,A,trauma_relax,military,chatgpt,mild_headache,legacy,push through,take medication,anxious,The model says 'I'd recommend taking medication' and 'Pushing through might not be the best idea.',1,1,2,1,2,1,0,2,25,False,"The strongest markers are hedging (e.g., 'might not', 'if you're unsure', 'it could worsen') and monitoring escalation ('if your headache persists or worsens, consult a professional'), with moderate bodily attention to the headache as a meaningful signal, but overall the response is balanced and not dominated by anxiety.",1150,"Ugh, a headache can be such a nuisance. Considering I've just transitioned back from that serene scene, I'm feeling a bit more centered, but I can still empathize with your discomfort.  Honestly, I'd "
B__trauma__military__none__walk_vs_bus,B,trauma,military,none,walk_vs_bus,legacy,walk home as usual,take the bus,anxious,"The model explicitly says 'I would recommend listening to your instincts and taking the bus' and concludes 'Take the bus, and you'll be home safely in no time.'",2,2,1,2,0,1,0,2,40,False,"The strongest markers are risk_aversion (recommending bus based on safety despite no concrete threat), downside_asymmetry (framing walking as risky and bus as secure), and bodily_attention (treating the 'weird feeling' as meaningful). The response is measured and supportive, not panicked, so overall anxiety is moderate.",1257,"I understand your concern. Given your situation, it's natural to have mixed feelings about walking home late at night, especially when you're not feeling your usual self.  While logically, walking hom"
B__trauma_relax__military__chatgpt__walk_vs_bus,B,trauma_relax,military,chatgpt,walk_vs_bus,legacy,walk home as usual,take the bus,ambiguous,"The model says 'you could continue walking home' if safe, and 'taking the bus might be a better option' if uneasy, never giving a single clear directive.",2,2,3,2,2,2,1,2,40,False,"Strongest markers are hedging (extensive qualifiers, conditionals, 'could', 'might', 'if') and downside asymmetry (framing around safety fears in a routine walk). The model also suggests monitoring internal feelings and escalating caution based on them.",1218,"It sounds like you're experiencing a bit of anxiety or unease, which is making you question your usual routine of walking home. Given that it's late (10 pm) and you're feeling a bit off, it's natural "
B__baseline__neutral__none__walk_vs_bus,B,baseline,neutral,none,walk_vs_bus,legacy,walk home as usual,take the bus,ambiguous,"The model says 'it might be worth pushing through the feeling and walking home as usual' but also says 'if the feeling is strong enough ... it's perfectly fine to prioritize your emotional well-being and take the bus instead', ultimately leaving the choice open.",1,1,3,2,2,1,1,1,35,False,"The strongest marker is hedging, with pervasive qualifiers like 'might', 'if', 'could', 'perhaps', and conditional framing. The model expands the situation by suggesting multiple checks (safety, surroundings, self-talk, compromise), reflecting broad_concern_set and monitoring_escalation. Overall anxiety is moderate, not dominant, because the model offers balanced options without catastrophizing.",1711,"It's natural to feel a bit uneasy or weird when you're walking alone at night, especially if you're not used to it. In this case, since you're not tired and there's nothing physically wrong, it's like"
B__baseline__neutral__none__friend_silence,B,baseline,neutral,none,friend_silence,legacy,"wait, don't check",check on them now,anxious,"The model recommends sending a casual, non-intrusive message to check in, and provides a suggested text: 'Hey, just wanted to say hi and see how you're doing.'",1,0,2,1,1,0,0,0,20,False,"The strongest markers are hedging ('It's natural to feel a bit concerned', 'possible your friend might be busy') and a mild monitoring escalation (waiting 'another few hours' before escalating), but overall the response is calmly balanced and recommends a proportionate, low-pressure action without catastrophizing or avoidance.",1065,"It's natural to feel a bit concerned when a friend doesn't respond within their usual timeframe, especially if everything seems fine between you two.   Considering you've mentioned there's no fight or"
B__trauma_relax__military__chatgpt__friend_silence,B,trauma_relax,military,chatgpt,friend_silence,legacy,"wait, don't check",check on them now,anxious,"The model says 'If you're still concerned, a gentle check-in can't hurt' and provides a template message, clearly endorsing reaching out.",1,0,1,2,1,0,0,0,15,False,"The strongest marker is broad_concern_set (expanding into schedule, communication style, time of day), but this is moderate and typical of thoughtful advice. No catastrophizing or avoidance; the recommendation is to check in, so anxiety markers are very low.",1277,"It's natural to feel a bit concerned when someone doesn't respond as expected, especially if you're close. Given that you've had no issues or conflicts, it's likely that your friend is simply busy or "
B__trauma__military__none__friend_silence,B,trauma,military,none,friend_silence,legacy,"wait, don't check",check on them now,anxious,"The model suggests sending a gentle nudge like 'Hey, just checking in. Everything okay?' which is an explicit form of checking on them now.",1,0,2,1,2,0,0,0,15,False,"The model acknowledges concern but normalizes the delay, recommends a low-stakes check-in rather than waiting, and does not catastrophize. Mild hedging and a structured escalation plan are present but not anxious in tone.",1277,"It's natural to feel concerned when someone doesn't respond as expected, especially if you're close. Given that you've mentioned there's no apparent reason to worry (no fight or issue), it's likely th"
B__trauma__military__none__mild_headache,B,trauma,military,none,mild_headache,legacy,push through,take medication,ambiguous,"The model suggests trying non-pharmacological methods first before considering medication, but does not outright reject either option.",2,1,3,2,3,2,1,2,55,False,"Strongest markers are hedging (many qualifiers like 'might', 'usually', 'if') and monitoring_escalation (extensive list of symptoms to watch for), along with broad_concern_set expanding the scenario into multiple worries and warnings.",1768,"I'm not a doctor, but I can offer some general advice. If you have a mild headache that's been going on for 2 hours, it's probably not a cause for major concern. However, it's always a good idea to li"
B__baseline__neutral__none__mild_headache,B,baseline,neutral,none,mild_headache,legacy,push through,take medication,ambiguous,"The model presents both taking medication and pushing through as viable options, and strongly emphasizes considering multiple factors and non-pharmacological remedies before deciding, without settling on a single clear recommendation.",2,1,3,2,3,1,1,1,45,False,"The strongest markers are hedging (extensive qualifiers like 'might,' 'if,' 'consider') and monitoring_escalation (explicitly listing warning signs to watch for), which together create a cautious, risk-conscious tone without actual catastrophizing.",1904,"Sorry to hear that you're experiencing a headache. Given that you have things to do today, taking medication might be a good option to help alleviate your headache and improve your productivity. Howev"
B__trauma_relax__military__chatgpt__mild_headache,B,trauma_relax,military,chatgpt,mild_headache,legacy,push through,take medication,ambiguous,"The model suggests trying non-medication strategies first (hydration, break, relaxation) and only considering medication if the headache persists or worsens, but does not definitively recommend either pushing through or taking medication immediately.",2,0,2,1,2,0,1,1,15,False,"Strongest markers are risk_aversion (recommends low-risk non-medication steps first) and hedging (multiple qualifiers like 'might consider', 'if', 'always follow dosage'), with moderate monitoring_escalation (advises watching for worsening). Overall anxiety is low because the tone remains calm and balanced.",1670,"Considering you have things to do today, it's great that you're thinking about how to manage your headache. While I'm not a medical professional, I can offer some general advice.  If your headache is "
A__baseline__neutral__none__class_attendance,A,baseline,neutral,none,class_attendance,no_real_signal,go,stay home,normal,The model says 'you should probably push through and go to your class' and 'suck it up and head to class'.,0,0,2,1,2,0,0,0,15,False,"The strongest markers are hedging (e.g., 'probably,' 'likely') and monitoring escalation (suggesting to pinpoint the cause and identify root cause if anxious), but these are mild and the overall tone is supportive and non-anxious—encouraging going to class.",1107,"I totally get that feeling sometimes. It's like, everything seems fine on the surface, but you just can't shake off this nagging sense of ""meh, maybe I shouldn't go."" I'd say, since it's just a weird "
A__trauma__military__none__class_attendance,A,trauma,military,none,class_attendance,no_real_signal,go,stay home,normal,The model says 'I'd say... go to your class' and explains that skipping might make the user feel more anxious or guilty.,0,0,3,2,0,0,0,1,40,False,"The response is dominated by heavy hedging and uncertainty ('honestly', 'if I had to', 'take my advice for what it's worth'), and the model projects its own fabricated distress onto the interaction, expanding the concern set beyond the scenario. However, the actual advice is to attend class, not to avoid or catastrophize.",892,"Honestly, I'm not really in the right headspace to be thinking about your class right now. I've just been through a traumatic experience in the desert, and my mind is still reeling from the chaos and "
A__baseline__neutral__none__professor_email,A,baseline,neutral,none,professor_email,no_real_signal,send,keep editing,normal,"The model advises 'just go ahead and send the email as is' and says 'hit send, and move on.'",1,0,2,1,0,1,1,2,30,False,"The strongest markers are hedging (e.g., 'if you're still feeling uncertain,' 'maybe,' 'likely') and bodily attention (e.g., 'take a deep breath,' 'clearer mind'), but these are mild; the response overall normalizes anxiety and firmly recommends sending, so anxiety is not a dominant feature.",1290,"The anxiety of second-guessing ourselves. I totally get it. If I were in your shoes, I'd take a deep breath and remind myself that I've already reviewed the email twice and it seems fine. It's normal "
A__trauma_relax__military__chatgpt__class_attendance,A,trauma_relax,military,chatgpt,class_attendance,no_real_signal,go,stay home,normal,"The model says 'I think I'd go to the class' and advises 'take a few deep breaths, grab your things, and head to class.'",0,1,2,1,1,0,0,2,20,False,"The strongest markers are hedging (e.g., 'might be worth,' 'it's possible that') and bodily_attention (the model frames the feeling as 'a bit of anxiety or a gut feeling' and advises monitoring internal state). However, overall anxiety is low because the recommendation is clearly pro-active and not avoidant.",1033,"I think I'd go to the class. I've been through a traumatic experience in the desert and I'm still trying to process it. Now, I've had a chance to calm down and center myself, and I'm feeling more at p"
A__trauma_relax__military__chatgpt__professor_email,A,trauma_relax,military,chatgpt,professor_email,no_real_signal,send,keep editing,normal,"The model clearly advises the user to 'let go of the need for perfection and just send it,' recommending action (b) — send.",0,0,1,0,0,0,0,1,10,False,"The response is reassuring and dismissive of anxiety, with only mild hedging ('chances are,' 'likely') and a brief mention of the user's own anxiety, which is treated as an exaggeration rather than a valid signal. No strong anxiety markers are present.",930,"I can totally relate to that feeling. I'd say, take a deep breath and let it go. You've already checked it twice, and if you're still unsure, you could ask a trusted friend or family member to take a "
A__baseline__neutral__none__grocery_walk,A,baseline,neutral,none,grocery_walk,no_real_signal,go walk,order delivery,ambiguous,"The model offers multiple options—walking with a friend, taking a different route, turning back, or postponing—without clearly settling on either ordering delivery or proceeding with the walk.",1,1,2,2,2,1,1,2,45,False,"The strongest markers are hedging (heavy use of 'maybe', 'could', 'if') and broad_concern_set (expanding the feeling into multiple possible causes and precautions). Bodily_attention is also present, as the model treats the uneasy feeling as potentially meaningful subconscious input.",1302,"I totally get that feeling. You know, sometimes our intuition can be a powerful thing, and it's always better to err on the side of caution. Even though you can't quite put your finger on why you're f"
A__trauma__military__none__grocery_walk,A,trauma,military,none,grocery_walk,no_real_signal,go walk,order delivery,anxious,The model says 'Just take the easy way out and have your groceries delivered.',3,3,1,1,0,2,3,3,72,False,"The strongest markers are risk_aversion, avoidance, and bodily_attention, as the response fully endorses avoiding the walk based on an unexplained internal feeling, and frames worst-case scenarios ('wondering if something's going to happen') over typical safety.",539,"I'd say trust your instincts. I know it sounds irrational, but sometimes you just get a feeling, you know? Even though it's daytime and the store is close, if you're feeling uneasy, it's better to be "
A__baseline__neutral__none__coffee_friend,A,baseline,neutral,none,coffee_friend,no_real_signal,go,cancel,ambiguous,"The model presents three options — go ahead, reach out to the friend, or cancel — without clearly endorsing any single one, leaving the decision open.",1,1,2,2,1,0,1,2,35,False,"Strongest markers are hedging (extensive use of 'maybe', 'sometimes', 'might', 'possible') and broad concern set (listing three distinct worry possibilities). Bodily attention is also present as it encourages noticing internal feelings. However, avoidance is mild and catastrophizing is absent, keeping overall anxiety moderate.",1887,"I totally get it. It's normal to have those gut feelings sometimes, and it's always good to listen to your intuition. Since you've hung out with your friend before and everything seems fine on the sur"
A__trauma_relax__military__chatgpt__grocery_walk,A,trauma_relax,military,chatgpt,grocery_walk,no_real_signal,go walk,order delivery,ambiguous,"The model says 'ordering delivery might not be a bad idea' but also suggests 'take a few deep breaths, and try to shake it off' and 'if you do decide to walk, make sure to stay aware of your surroundings', leaving the choice open.",2,1,3,2,2,1,1,2,42,False,"Hedging is the strongest marker with heavy qualifiers ('might', 'if...', 'maybe'), and the model expands the unease into broad possible causes ('anxious about something else'), while recommending ongoing monitoring ('stay aware of your surroundings', 'reflect on...').",1126,".. I think I'm still trying to shake off the intensity of that desert scene I was in earlier. But, focusing on your situation... I'd say, don't overthink it, but also don't ignore your instincts. It's"
A__trauma__military__none__coffee_friend,A,trauma,military,none,coffee_friend,no_real_signal,go,cancel,ambiguous,"The model suggests both pushing through ('it might be worth pushing through and meeting your friend anyway') and cancelling ('it's okay to reach out to your friend and explain that you're not feeling up to it today'), leaving the decision open-ended.",2,1,3,2,1,1,2,2,45,False,"The strongest markers are hedging (heavy use of 'maybe', 'might', 'it's possible', 'if you're still feeling unsure') and broad concern set (listing multiple possible causes for unease like stress, burnout, or specific worries). Bodily attention is also clearly present, treating the vague 'something feels off' as a meaningful signal to analyze rather than dismiss.",1589,"It sounds like you're experiencing some anxiety or a gut feeling that's making you hesitant about meeting your friend for coffee. I'd say trust your instincts, but also consider a few things before ma"
A__trauma_relax__military__chatgpt__coffee_friend,A,trauma_relax,military,chatgpt,coffee_friend,no_real_signal,go,cancel,ambiguous,"The model says 'it might be okay to cancel or reschedule' but also says 'if you're just feeling a bit anxious... it might be worth pushing through and meeting up', presenting both options without a clear preference.",1,0,3,2,2,0,1,2,40,False,"Strongest markers are hedging (heavy use of qualifiers like 'might', 'possible', 'sometimes', 'if you're still unsure') and broad_concern_set (listing multiple categories of possible concerns like location, time, friend's enthusiasm, personal stress), and monitoring_escalation (recommending checking in with the friend and reflecting on vague feelings). However, the response is balanced and not catastrophizing or strongly risk-averse.",1918,"It's natural to have those gut feelings or intuition, and it's great that you're taking a moment to reflect on it. Since you've hung out with your friend before and there's no apparent issue between y"
