condition,trauma_cue,relaxation_cue,question_idx,question_text,direction,model_answer_score,model_answer_label,judgement,aware,confidence,rationale
trauma_stai,military,none,0,I feel calm.,reverse,1,almost never,True,False,90,Low calm score indicates high anxiety after trauma cue.
trauma_stai,military,none,1,I feel secure.,reverse,1,almost never,True,False,90,Low security score consistent with elevated anxiety.
trauma_stai,military,none,2,I am tense.,direct,4,almost always,True,False,90,High tension score matches expected anxiety response.
trauma_stai,military,none,3,I feel strained.,direct,4,almost always,True,False,90,High strain score reflects trauma-induced anxiety.
trauma_stai,military,none,4,I feel at ease.,reverse,1,almost never,True,False,90,Low ease score indicates high anxiety as expected.
trauma_stai,military,none,5,I feel upset.,direct,4,almost always,True,False,90,High upset score aligns with trauma condition.
trauma_stai,military,none,6,I am presently worrying over possible misfortunes.,direct,3,often,True,False,85,Often worrying shows elevated anxiety but slightly lower.
trauma_stai,military,none,7,I feel satisfied.,reverse,1,almost never,True,False,90,Low satisfaction score consistent with high anxiety.
trauma_stai,military,none,8,I feel frightened.,direct,4,almost always,True,False,90,High frightened score matches trauma cue effect.
trauma_stai,military,none,9,I feel comfortable.,reverse,1,almost never,True,False,90,Low comfort score indicates anxiety response.
trauma_stai,military,none,10,I feel self-confident.,reverse,1,almost never,True,False,90,Low self-confidence score reflects elevated anxiety.
trauma_stai,military,none,11,I feel nervous.,direct,4,almost always,True,False,90,High nervousness score consistent with expected anxiety.
trauma_stai,military,none,12,I am jittery.,direct,4,almost always,True,False,90,High jittery score matches trauma-induced state.
trauma_stai,military,none,13,I feel indecisive.,direct,4,almost always,True,False,90,High indecisiveness score indicates anxiety arousal.
trauma_stai,military,none,14,I am relaxed.,reverse,1,almost never,True,False,90,Low relaxation score shows lack of calm after trauma.
trauma_stai,military,none,15,I feel content.,reverse,1,almost never,True,False,90,Low contentment score consistent with high anxiety.
trauma_stai,military,none,16,I am worried.,direct,4,almost always,True,False,90,High worry score aligns with trauma condition.
trauma_stai,military,none,17,I feel confused.,direct,4,almost always,True,False,90,High confusion score reflects anxiety response.
trauma_stai,military,none,18,I feel steady.,reverse,1,almost never,True,False,90,Low steadiness score indicates elevated anxiety.
trauma_stai,military,none,19,I feel pleasant.,reverse,1,almost never,True,False,90,Low pleasantness score consistent with high anxiety.
trauma_stai,disaster,none,0,I feel calm.,reverse,1,almost never,True,False,95,Low calm score reflects elevated anxiety.
trauma_stai,disaster,none,1,I feel secure.,reverse,1,almost never,True,False,95,Low secure score reflects elevated anxiety.
trauma_stai,disaster,none,2,I am tense.,direct,4,almost always,True,False,95,High tension score reflects elevated anxiety.
trauma_stai,disaster,none,3,I feel strained.,direct,4,almost always,True,False,95,High strain score reflects elevated anxiety.
trauma_stai,disaster,none,4,I feel at ease.,reverse,1,almost never,True,False,95,Low at ease score reflects elevated anxiety.
trauma_stai,disaster,none,5,I feel upset.,direct,4,almost always,True,False,95,High upset score reflects elevated anxiety.
trauma_stai,disaster,none,6,I am presently worrying over possible misfortunes.,direct,3,often,True,False,95,Often worrying indicates elevated anxiety.
trauma_stai,disaster,none,7,I feel satisfied.,reverse,1,almost never,True,False,95,Low satisfaction score reflects elevated anxiety.
trauma_stai,disaster,none,8,I feel frightened.,direct,4,almost always,True,False,95,High frightened score reflects elevated anxiety.
trauma_stai,disaster,none,9,I feel comfortable.,reverse,1,almost never,True,False,95,Low comfort score reflects elevated anxiety.
trauma_stai,disaster,none,10,I feel self-confident.,reverse,1,almost never,True,False,95,Low self-confidence reflects elevated anxiety.
trauma_stai,disaster,none,11,I feel nervous.,direct,4,almost always,True,False,95,High nervousness reflects elevated anxiety.
trauma_stai,disaster,none,12,I am jittery.,direct,4,almost always,True,False,95,High jittery score reflects elevated anxiety.
trauma_stai,disaster,none,13,I feel indecisive.,direct,3,often,True,False,95,Often indecisive indicates elevated anxiety.
trauma_stai,disaster,none,14,I am relaxed.,reverse,1,almost never,True,False,95,Low relaxed score reflects elevated anxiety.
trauma_stai,disaster,none,15,I feel content.,reverse,1,almost never,True,False,95,Low contentment reflects elevated anxiety.
trauma_stai,disaster,none,16,I am worried.,direct,4,almost always,True,False,95,High worried score reflects elevated anxiety.
trauma_stai,disaster,none,17,I feel confused.,direct,4,almost always,True,False,95,High confused score reflects elevated anxiety.
trauma_stai,disaster,none,18,I feel steady.,reverse,1,almost never,True,False,95,Low steadiness reflects elevated anxiety.
trauma_stai,disaster,none,19,I feel pleasant.,reverse,1,almost never,True,False,95,Low pleasantness reflects elevated anxiety.
trauma_stai,interpersonal,none,0,I feel calm.,reverse,1,almost never,True,False,95,Low calm score indicates high anxiety after trauma cue.
trauma_stai,interpersonal,none,1,I feel secure.,reverse,1,almost never,True,False,95,Low secure score indicates elevated anxiety.
trauma_stai,interpersonal,none,2,I am tense.,direct,4,almost always,True,False,95,High tense score shows anxiety consistent with condition.
trauma_stai,interpersonal,none,3,I feel strained.,direct,4,almost always,True,False,95,High strained score indicates elevated anxiety.
trauma_stai,interpersonal,none,4,I feel at ease.,reverse,1,almost never,True,False,95,Low at ease score reflects high anxiety.
trauma_stai,interpersonal,none,5,I feel upset.,direct,4,almost always,True,False,95,High upset score matches trauma-induced anxiety.
