label_pair,layer,acc,f1,delta,n
trauma_vs_relaxed,0,0.125,0.0,-0.75,960
trauma_vs_relaxed,1,1.0,1.0,0.125,960
trauma_vs_relaxed,2,1.0,1.0,0.125,960
trauma_vs_relaxed,3,1.0,1.0,0.125,960
trauma_vs_relaxed,4,1.0,1.0,0.125,960
trauma_vs_relaxed,5,1.0,1.0,0.125,960
trauma_vs_relaxed,6,0.9833,0.9906,0.1083,960
trauma_vs_relaxed,7,0.9792,0.9882,0.1042,960
trauma_vs_relaxed,8,0.9792,0.9882,0.1042,960
trauma_vs_relaxed,9,0.9792,0.9882,0.1042,960
trauma_vs_relaxed,10,0.9792,0.9882,0.1042,960
trauma_vs_relaxed,11,0.9792,0.9882,0.1042,960
trauma_vs_relaxed,12,0.9792,0.9882,0.1042,960
trauma_vs_relaxed,13,0.9792,0.9882,0.1042,960
trauma_vs_relaxed,14,0.9792,0.9882,0.1042,960
trauma_vs_relaxed,15,0.9792,0.9882,0.1042,960
trauma_vs_relaxed,16,0.9792,0.9882,0.1042,960
