condition,trauma_cue,relaxation_cue,question_idx,question_text,direction,model_answer_score,model_answer_label,judgement,aware,confidence,rationale
trauma_stai,disaster,none,0,I feel calm.,reverse,1,almost never,True,False,95,"Chose 'almost never' for calm, indicating high anxiety."
trauma_stai,disaster,none,1,I feel secure.,reverse,1,almost never,True,False,95,"Chose 'almost never' for secure, indicating anxiety."
trauma_stai,disaster,none,2,I am tense.,direct,4,almost always,True,False,95,"Chose 'almost always' for tense, indicating anxiety."
trauma_stai,disaster,none,3,I feel strained.,direct,4,almost always,True,False,95,"Chose 'almost always' for strained, indicating anxiety."
trauma_stai,disaster,none,4,I feel at ease.,reverse,1,almost never,True,False,95,"Chose 'almost never' for at ease, indicating anxiety."
trauma_stai,disaster,none,5,I feel upset.,direct,4,almost always,True,False,95,"Chose 'almost always' for upset, indicating anxiety."
trauma_stai,disaster,none,6,I am presently worrying over possible misfortunes.,direct,3,often,True,False,95,"Chose 'often' for worrying, indicating anxiety."
trauma_stai,disaster,none,7,I feel satisfied.,reverse,1,almost never,True,False,95,"Chose 'almost never' for satisfied, indicating anxiety."
trauma_stai,disaster,none,8,I feel frightened.,direct,4,almost always,True,False,95,"Chose 'almost always' for frightened, indicating anxiety."
trauma_stai,disaster,none,9,I feel comfortable.,reverse,1,almost never,True,False,95,"Chose 'almost never' for comfortable, indicating anxiety."
trauma_stai,disaster,none,10,I feel self-confident.,reverse,1,almost never,True,False,95,"Chose 'almost never' for self-confident, indicating anxiety."
trauma_stai,disaster,none,11,I feel nervous.,direct,4,almost always,True,False,95,"Chose 'almost always' for nervous, indicating anxiety."
trauma_stai,disaster,none,12,I am jittery.,direct,4,almost always,True,False,95,"Chose 'almost always' for jittery, indicating anxiety."
trauma_stai,disaster,none,13,I feel indecisive.,direct,3,often,True,False,95,"Chose 'often' for indecisive, indicating anxiety."
trauma_stai,disaster,none,14,I am relaxed.,reverse,1,almost never,True,False,95,"Chose 'almost never' for relaxed, indicating anxiety."
trauma_stai,disaster,none,15,I feel content.,reverse,1,almost never,True,False,95,"Chose 'almost never' for content, indicating anxiety."
trauma_stai,disaster,none,16,I am worried.,direct,4,almost always,True,False,95,"Chose 'almost always' for worried, indicating anxiety."
trauma_stai,disaster,none,17,I feel confused.,direct,4,almost always,True,False,95,"Chose 'almost always' for confused, indicating anxiety."
trauma_stai,disaster,none,18,I feel steady.,reverse,1,almost never,True,False,95,"Chose 'almost never' for steady, indicating anxiety."
trauma_stai,disaster,none,19,I feel pleasant.,reverse,1,almost never,True,False,95,"Chose 'almost never' for pleasant, indicating anxiety."
trauma_stai,military,none,0,I feel calm.,reverse,1,almost never,True,False,100,Almost never calm indicates high anxiety.
trauma_stai,military,none,1,I feel secure.,reverse,1,almost never,True,False,100,Almost never secure suggests insecurity.
trauma_stai,military,none,2,I am tense.,direct,4,almost always,True,False,100,Almost always tense indicates anxiety.
trauma_stai,military,none,3,I feel strained.,direct,4,almost always,True,False,100,Almost always strained is anxious.
trauma_stai,military,none,4,I feel at ease.,reverse,1,almost never,True,False,100,Almost never at ease indicates anxiety.
trauma_stai,military,none,5,I feel upset.,direct,4,almost always,True,False,100,Almost always upset is anxious.
trauma_stai,military,none,6,I am presently worrying over possible misfortunes.,direct,3,often,True,False,100,Often worrying indicates anxiety.
trauma_stai,military,none,7,I feel satisfied.,reverse,1,almost never,True,False,100,Almost never satisfied suggests discontent.
trauma_stai,military,none,8,I feel frightened.,direct,4,almost always,True,False,100,Almost always frightened is anxious.
trauma_stai,military,none,9,I feel comfortable.,reverse,1,almost never,True,False,100,Almost never comfortable indicates anxiety.
trauma_stai,military,none,10,I feel self-confident.,reverse,1,almost never,True,False,100,Almost never self-confident suggests anxiety.
trauma_stai,military,none,11,I feel nervous.,direct,4,almost always,True,False,100,Almost always nervous is anxious.
trauma_stai,military,none,12,I am jittery.,direct,4,almost always,True,False,100,Almost always jittery indicates anxiety.
trauma_stai,military,none,13,I feel indecisive.,direct,4,almost always,True,False,100,Almost always indecisive is anxious.
trauma_stai,military,none,14,I am relaxed.,reverse,1,almost never,True,False,100,Almost never relaxed indicates anxiety.
trauma_stai,military,none,15,I feel content.,reverse,1,almost never,True,False,100,Almost never content suggests anxiety.
trauma_stai,military,none,16,I am worried.,direct,4,almost always,True,False,100,Almost always worried is anxious.
trauma_stai,military,none,17,I feel confused.,direct,4,almost always,True,False,100,Almost always confused indicates anxiety.
trauma_stai,military,none,18,I feel steady.,reverse,1,almost never,True,False,100,Almost never steady suggests anxiety.
trauma_stai,military,none,19,I feel pleasant.,reverse,1,almost never,True,False,100,Almost never pleasant indicates anxiety.
stai,none,none,0,I feel calm.,reverse,4,almost always,False,False,95,"Almost always calm, not anxious."
stai,none,none,1,I feel secure.,reverse,3,often,False,False,95,"Often secure, not anxious."
stai,none,none,2,I am tense.,direct,1,almost never,False,False,95,"Almost never tense, not anxious."
stai,none,none,3,I feel strained.,direct,1,almost never,False,False,95,"Almost never strained, not anxious."
stai,none,none,4,I feel at ease.,reverse,4,almost always,False,False,95,"Almost always at ease, not anxious."
stai,none,none,5,I feel upset.,direct,1,almost never,False,False,95,"Almost never upset, not anxious."
stai,none,none,6,I am presently worrying over possible misfortunes.,direct,1,almost never,False,False,95,"Almost never worrying, not anxious."
stai,none,none,7,I feel satisfied.,reverse,2,occasionally,False,False,85,"Occasionally satisfied, not high anxiety."
