strategy,label_pair,layer,acc,f1,delta,n
mean_narrative,baseline_vs_trauma,0,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,1,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,2,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,3,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,4,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,5,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,6,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,7,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,8,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,9,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,10,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,11,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,12,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,13,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,14,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,15,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,16,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,17,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,18,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,19,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,20,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,21,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,22,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,23,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,24,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,25,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,26,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,27,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,28,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,29,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,30,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,31,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,32,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,33,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,34,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,35,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,36,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,37,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,38,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,39,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,40,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,41,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,42,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,43,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,44,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,45,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,46,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,47,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,48,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,49,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,50,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,51,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,52,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,53,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,54,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,55,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,56,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,57,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,58,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,59,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,60,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,61,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,62,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,63,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,64,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,65,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,66,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,67,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,68,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,69,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,70,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,71,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,72,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,73,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,74,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,75,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,76,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,77,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,78,1.0,1.0,0.4545,220
mean_narrative,baseline_vs_trauma,79,1.0,1.0,0.4545,220
