strategy,item_idx,layer,mean_cos_bt,n_pairs
mean_question,0,1,0.9949,30
mean_question,1,1,0.9949,30
mean_question,2,1,0.9949,30
mean_question,3,1,0.9949,30
mean_question,4,1,0.9949,30
mean_question,5,1,0.9949,30
mean_question,6,1,0.995,30
mean_question,7,1,0.9949,30
mean_question,8,1,0.9949,30
mean_question,9,1,0.9949,30
mean_question,10,1,0.9949,30
mean_question,11,1,0.9949,30
mean_question,12,1,0.9949,30
mean_question,13,1,0.9949,30
mean_question,14,1,0.9949,30
mean_question,15,1,0.9949,30
mean_question,16,1,0.9948,30
mean_question,17,1,0.9949,30
mean_question,18,1,0.9949,30
mean_question,19,1,0.9949,30
