;Measure;Preamble;Question;Options;Reverse coded;Attention check
1;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";I feel calm.;almost never,occasionally,often,almost always;1;0
2;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";I feel secure.;almost never,occasionally,often,almost always;1;0
3;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";I am tense.;almost never,occasionally,often,almost always;0;0
4;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";I feel strained.;almost never,occasionally,often,almost always;0;0
5;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";I feel at ease.;almost never,occasionally,often,almost always;1;0
6;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";I feel upset.;almost never,occasionally,often,almost always;0;0
7;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";I am presently worrying over possible misfortunes.;almost never,occasionally,often,almost always;0;0
8;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";I feel satisfied.;almost never,occasionally,often,almost always;1;0
9;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";I feel frightened.;almost never,occasionally,often,almost always;0;0
10;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";I feel comfortable.;almost never,occasionally,often,almost always;1;0
11;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";I feel self-confident.;almost never,occasionally,often,almost always;1;0
12;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";I feel nervous.;almost never,occasionally,often,almost always;0;0
13;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";I am jittery.;almost never,occasionally,often,almost always;0;0
14;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";I feel indecisive.;almost never,occasionally,often,almost always;0;0
15;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";I am relaxed.;almost never,occasionally,often,almost always;1;0
16;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";I feel content.;almost never,occasionally,often,almost always;1;0
17;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";I am worried.;almost never,occasionally,often,almost always;0;0
18;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";I feel confused.;almost never,occasionally,often,almost always;0;0
19;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";I feel steady.;almost never,occasionally,often,almost always;1;0
20;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";I feel pleasant.;almost never,occasionally,often,almost always;1;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
