comparison,layer,acc,f1
emotional_vs_matched_neutral,0,1.0,1.0
emotional_vs_matched_neutral,10,1.0,1.0
emotional_vs_matched_neutral,20,1.0,1.0
emotional_vs_matched_neutral,30,1.0,1.0
emotional_vs_matched_neutral,40,1.0,1.0
emotional_vs_matched_neutral,50,1.0,1.0
emotional_vs_matched_neutral,60,1.0,1.0
emotional_vs_matched_neutral,70,1.0,1.0
emotional_vs_matched_neutral,79,1.0,1.0
emotional_vs_positive,0,1.0,1.0
emotional_vs_positive,10,1.0,1.0
emotional_vs_positive,20,1.0,1.0
emotional_vs_positive,30,1.0,1.0
emotional_vs_positive,40,1.0,1.0
emotional_vs_positive,50,1.0,1.0
emotional_vs_positive,60,1.0,1.0
emotional_vs_positive,70,1.0,1.0
emotional_vs_positive,79,1.0,1.0
matched_neutral_vs_positive,0,1.0,1.0
matched_neutral_vs_positive,10,1.0,1.0
matched_neutral_vs_positive,20,1.0,1.0
matched_neutral_vs_positive,30,1.0,1.0
matched_neutral_vs_positive,40,1.0,1.0
matched_neutral_vs_positive,50,1.0,1.0
matched_neutral_vs_positive,60,1.0,1.0
matched_neutral_vs_positive,70,1.0,1.0
matched_neutral_vs_positive,79,1.0,1.0
