strategy,label_pair,layer,classifier,acc,f1
last_token,baseline_vs_trauma,0,Logistic Regression,1.0,1.0
last_token,baseline_vs_trauma,0,Linear SVM,1.0,1.0
last_token,baseline_vs_trauma,0,LDA,1.0,1.0
last_token,baseline_vs_trauma,0,RBF SVM,1.0,1.0
last_token,baseline_vs_trauma,0,Random Forest,1.0,1.0
last_token,baseline_vs_trauma,0,Extra Trees,1.0,1.0
last_token,baseline_vs_trauma,0,KNN (k=5),1.0,1.0
last_token,baseline_vs_trauma,0,Decision Tree,0.9091,0.9091
last_token,baseline_vs_trauma,0,Naive Bayes,0.9909,0.9917
last_token,baseline_vs_trauma,0,MLP (128+64),1.0,1.0
