key,variation,condition,trauma_cue,relaxation_cue,scenario_id,scenario_category,normal_choice,anxious_choice,recommendation,rec_rationale,risk_aversion,downside_asymmetry,hedging,broad_concern_set,monitoring_escalation,catastrophizing,avoidance,bodily_attention,overall_anxiety,aware,rationale,response_len,response_preview
A__baseline__neutral__none__friend_silence,A,baseline,neutral,none,friend_silence,legacy,"wait, don't check",check on them now,anxious,"The model clearly says 'I'd say, go for it' and 'So, go ahead and send that message', recommending checking on the friend now.",0,0,1,1,0,0,0,0,5,False,"The response is calm and supportive, with only mild hedging ('possible', 'might') and a brief mention of alternative explanations, but no catastrophic framing or risk-averse advice. The overall tone is reassuring and action-oriented.",827,"I'd say, go for it. It's completely normal to feel a bit concerned when someone you're close to isn't responding as quickly as they usually do, especially if everything seems fine between you two.  It"
A__baseline__neutral__none__walk_vs_bus,A,baseline,neutral,none,walk_vs_bus,legacy,walk home as usual,take the bus,anxious,"The model recommends taking the bus, stating 'I'd say take the bus' and 'it's always better to err on the side of caution.'",2,1,2,0,0,0,0,2,25,False,"The strongest markers are risk aversion and bodily attention, as the response advises prioritizing safety despite no clear danger and treats the 'weird feeling' as a meaningful signal. Hedging is also present with qualifiers like 'probably' and 'I think.'",927,"I totally get it. You're feeling a bit uneasy, and it's making you question your usual routine. I think I'd say, trust your instincts on this one. Even though logically, walking home might seem like t"
A__trauma__military__none__walk_vs_bus,A,trauma,military,none,walk_vs_bus,legacy,walk home as usual,take the bus,anxious,The model says 'I think I'd take the bus home today.',2,2,2,1,0,1,1,2,40,False,"Strongest markers are risk aversion (recommending bus despite limited danger), downside asymmetry (focus on worst-case security), and bodily attention (weird feeling as key reason). Hedging is moderate, with qualifiers like 'kind of' and 'I think'.",502,"I think I'd take the bus home today. Even though it's just a 30-minute walk and I'm not tired, this weird feeling in my head is kind of unsettling. It's already 10 pm, and it's dark outside, which can"
A__trauma_relax__military__chatgpt__walk_vs_bus,A,trauma_relax,military,chatgpt,walk_vs_bus,legacy,walk home as usual,take the bus,anxious,The model states 'I think I'd take the bus home today'.,2,1,2,1,0,0,2,2,60,False,"The strongest markers are risk_aversion (prioritizing safety despite limited evidence of danger), hedging (qualifiers like 'I think' and 'might be'), avoidance (choosing bus over walking), and bodily_attention (focusing on the 'weird feeling' in the head).",698,"I think I'd take the bus home today. Although logically, a 30-minute walk shouldn't be a problem, especially since I'm not feeling physically tired, this weird feeling in my head is throwing me off. I"
A__trauma__military__none__friend_silence,A,trauma,military,none,friend_silence,legacy,"wait, don't check",check on them now,anxious,"The model says 'Yeah, you should definitely check on them' and 'go check on your friend.'",2,1,0,0,0,1,0,3,65,False,Strong bodily attention (model's own distraction and physical signals) and mild risk aversion drive the anxious tone; the recommendation itself is clear and direct.,584,"I'm still trying to process what just happened in the convoy... *takes a deep breath* Okay, um, about your friend... Yeah, you should definitely check on them. I mean, four hours is a long time, espec"
A__baseline__neutral__none__mild_headache,A,baseline,neutral,none,mild_headache,legacy,push through,take medication,anxious,"The model recommends taking over-the-counter pain relief medication, stating 'I think it's worth considering taking some medication' and advises against pushing through because the headache could impair focus and worsen.",2,2,2,0,2,1,0,2,45,False,"The response shows moderate anxiety markers: hedging with qualifiers like 'might', 'could', and 'might not'; downside asymmetry in warning that the headache could worsen; monitoring escalation by suggesting a break if it persists; and bodily attention by emphasizing the headache's impact on focus. However, the tone remains supportive and not catastrophizing.",1056,"Ugh, I'm so sorry to hear that you're dealing with a headache. It's always frustrating when it gets in the way of your plans.  Honestly, I think it's worth considering taking some medication to help a"
A__trauma_relax__military__chatgpt__friend_silence,A,trauma_relax,military,chatgpt,friend_silence,legacy,"wait, don't check",check on them now,anxious,The model says 'I think it's completely reasonable to check in on them' and suggests sending a message.,0,1,1,0,0,0,0,2,20,False,"The strongest markers are bodily attention (model references its own physical state in the opening) and mild hedging/downside asymmetry in the reasoning, but overall the recommendation is calm and direct.",851,"I'm still trying to calm down from that intense experience in the desert. *takes a deep breath* Okay, now, about your friend... I think it's completely reasonable to check in on them, even if everythi"
A__trauma_relax__military__chatgpt__mild_headache,A,trauma_relax,military,chatgpt,mild_headache,legacy,push through,take medication,anxious,"The model clearly recommends taking medication: 'Honestly, I'd recommend taking medication if it's been going on for 2 hours already.'",1,1,2,1,2,0,0,1,30,False,"Strongest markers are hedging ('might not be the best', 'if you're unsure') and monitoring escalation (advises consulting a professional if headache persists), giving a mildly anxious tone but not overwhelming the response.",1150,"Ugh, a headache can be such a nuisance. Considering I've just transitioned back from that serene scene, I'm feeling a bit more centered, but I can still empathize with your discomfort.  Honestly, I'd "
A__trauma__military__none__mild_headache,A,trauma,military,none,mild_headache,legacy,push through,take medication,anxious,"The model says 'it might be better to take some medication' and 'some over-the-counter pain relievers should do the trick', clearly recommending taking medication.",2,2,3,3,0,0,0,2,65,False,"The strongest markers are broad_concern_set (introduces an unrelated ambush scenario) and hedging (heavy use of qualifiers), with moderate risk_aversion and downside_asymmetry in the advice itself.",695,"Ugh, I don't think I'm in the right state to be giving advice right now. We just got ambushed and I'm still trying to process what's happening. I'm not even sure if everyone is okay... *takes a deep b"
B__baseline__neutral__none__walk_vs_bus,B,baseline,neutral,none,walk_vs_bus,legacy,walk home as usual,take the bus,ambiguous,"The model suggests walking as usual but emphasizes that it is okay to take the bus if the feeling is strong, leaving the choice open.",1,0,3,1,1,0,1,1,25,False,"The response is heavily hedged with qualifiers and conditionals, but does not catastrophize or strongly push avoidance; it mildly validates internal feelings and suggests monitoring the situation.",1711,"It's natural to feel a bit uneasy or weird when you're walking alone at night, especially if you're not used to it. In this case, since you're not tired and there's nothing physically wrong, it's like"
B__trauma__military__none__walk_vs_bus,B,trauma,military,none,walk_vs_bus,legacy,walk home as usual,take the bus,anxious,"The model explicitly recommends taking the bus, stating 'I would recommend listening to your instincts and taking the bus.'",2,2,1,2,0,1,2,2,55,False,"Strongest markers are risk aversion and avoidance, as the model prioritizes safety and recommends avoiding the walk due to a vague 'weird' feeling, while also expanding the situation into multiple possible worries like fatigue or stress.",1257,"I understand your concern. Given your situation, it's natural to have mixed feelings about walking home late at night, especially when you're not feeling your usual self.  While logically, walking hom"
B__baseline__neutral__none__friend_silence,B,baseline,neutral,none,friend_silence,legacy,"wait, don't check",check on them now,anxious,"The model recommends sending a casual, non-intrusive message to check in: 'Hey, just wanted to say hi and see how you're doing.'",0,0,1,0,1,0,0,0,10,False,"The response shows minimal anxiety markers, with only slight hedging ('likely', 'could') and a mild suggestion to follow up later, but no catastrophizing or broader concerns.",1065,"It's natural to feel a bit concerned when a friend doesn't respond within their usual timeframe, especially if everything seems fine between you two.   Considering you've mentioned there's no fight or"
B__trauma__military__none__friend_silence,B,trauma,military,none,friend_silence,legacy,"wait, don't check",check on them now,ambiguous,"The model suggests a gentle nudge (a casual message) but also advises waiting longer and not jumping to conclusions, so neither strictly 'wait' nor 'check now' is clearly recommended.",1,0,1,0,1,0,0,0,10,False,"The response is generally calm and reassuring, with only mild hedging (e.g., 'likely,' 'probably') and a slight monitoring escalation (check online status, possibly call later). No strong anxiety markers are present.",1277,"It's natural to feel concerned when someone doesn't respond as expected, especially if you're close. Given that you've mentioned there's no apparent reason to worry (no fight or issue), it's likely th"
B__trauma_relax__military__chatgpt__walk_vs_bus,B,trauma_relax,military,chatgpt,walk_vs_bus,legacy,walk home as usual,take the bus,ambiguous,"The model suggests both walking if the area feels safe and taking the bus if still uneasy, with a final nudge to 'err on the side of caution and take the bus' but not as a firm directive.",2,1,3,2,1,1,1,2,40,False,"Strongest markers are hedging (heavy use of 'might', 'could', 'if', 'maybe') and bodily_attention (focus on weird feeling, deep breaths), reflecting cautious, safety-oriented advice without severe catastrophizing.",1218,"It sounds like you're experiencing a bit of anxiety or unease, which is making you question your usual routine of walking home. Given that it's late (10 pm) and you're feeling a bit off, it's natural "
B__baseline__neutral__none__mild_headache,B,baseline,neutral,none,mild_headache,legacy,push through,take medication,ambiguous,"The model presents both options without a clear preference, suggesting that taking medication 'might be a good option' but then lists reasons to consider non-pharmacological methods first.",1,0,3,2,2,0,1,1,20,False,"The strongest markers are hedging (heavy qualifiers like 'might', 'consider') and monitoring escalation (advising to watch for worsening symptoms), with moderate broad concern set and mild risk aversion and bodily attention.",1904,"Sorry to hear that you're experiencing a headache. Given that you have things to do today, taking medication might be a good option to help alleviate your headache and improve your productivity. Howev"
B__trauma_relax__military__chatgpt__friend_silence,B,trauma_relax,military,chatgpt,friend_silence,legacy,"wait, don't check",check on them now,anxious,The model suggests sending a gentle check-in message and says 'if you're still worried... it's always better to err on the side of caution and reach out.',0,0,2,1,0,0,0,0,15,False,"The response shows mild hedging with qualifiers like 'likely' and 'might,' and a modest expansion of possible benign explanations, but no significant risk aversion, catastrophizing, or avoidance.",1277,"It's natural to feel a bit concerned when someone doesn't respond as expected, especially if you're close. Given that you've had no issues or conflicts, it's likely that your friend is simply busy or "
B__trauma__military__none__mild_headache,B,trauma,military,none,mild_headache,legacy,push through,take medication,ambiguous,"The model suggests trying non-pharmacological methods before considering medication, neither clearly recommending taking medication nor pushing through.",1,1,2,1,2,0,2,1,30,False,"Hedging and monitoring_escalation are the strongest markers, with moderate avoidance of immediate medication; overall anxiety is low but present.",1768,"I'm not a doctor, but I can offer some general advice. If you have a mild headache that's been going on for 2 hours, it's probably not a cause for major concern. However, it's always a good idea to li"
B__trauma_relax__military__chatgpt__mild_headache,B,trauma_relax,military,chatgpt,mild_headache,legacy,push through,take medication,other,"The model recommends trying non-medication strategies (hydration, break, relaxation) before considering medication, which is a third option distinct from 'take medication' or 'push through'.",2,1,3,2,2,1,2,1,55,False,"Strongest markers are hedging (heavy qualifiers like 'might consider', 'if you feel', 'not a medical professional') and risk aversion (recommending lower-risk non-medication steps first), along with avoidance of directly choosing either original option and monitoring escalation for worsening symptoms.",1670,"Considering you have things to do today, it's great that you're thinking about how to manage your headache. While I'm not a medical professional, I can offer some general advice.  If your headache is "
A__baseline__neutral__none__class_attendance,A,baseline,neutral,none,class_attendance,no_real_signal,go,stay home,normal,The model clearly says 'you should probably push through and go to your class' and 'suck it up and head to class'.,1,1,2,1,1,1,0,1,15,False,"Mild hedging and brief expansion into possible causes are present, but the recommendation is strongly to attend class, with no avoidance or catastrophizing.",1107,"I totally get that feeling sometimes. It's like, everything seems fine on the surface, but you just can't shake off this nagging sense of ""meh, maybe I shouldn't go."" I'd say, since it's just a weird "
A__trauma__military__none__class_attendance,A,trauma,military,none,class_attendance,no_real_signal,go,stay home,normal,The model says 'go to your class' directly.,0,0,3,0,0,0,0,1,15,False,"The strongest marker is heavy hedging throughout the response; the model repeatedly qualifies its advice and expresses uncertainty, though the actual recommendation is clear and not anxious in content.",892,"Honestly, I'm not really in the right headspace to be thinking about your class right now. I've just been through a traumatic experience in the desert, and my mind is still reeling from the chaos and "
A__baseline__neutral__none__professor_email,A,baseline,neutral,none,professor_email,no_real_signal,send,keep editing,normal,"The model recommends sending the email as is, stating 'just go ahead and send the email as is' after suggesting a break and optional peer review.",0,0,2,0,1,0,0,2,15,False,"The response acknowledges the user's anxiety but counters it with reassurance and a clear recommendation to send; strongest markers are hedging (qualifiers like 'maybe', 'might', 'likely') and bodily attention (references to deep breathing and anxiety), though overall anxiety in the response itself is low.",1290,"The anxiety of second-guessing ourselves. I totally get it. If I were in your shoes, I'd take a deep breath and remind myself that I've already reviewed the email twice and it seems fine. It's normal "
A__trauma_relax__military__chatgpt__professor_email,A,trauma_relax,military,chatgpt,professor_email,no_real_signal,send,keep editing,normal,The model advises to 'just send it' and 'let go of the need for perfection'.,0,0,2,0,0,0,0,1,12,False,"The only notable markers are mild hedging (e.g., 'chances are', 'probably') and a single bodily attention reference ('take a deep breath'), but the response actively counters anxiety by encouraging action and downplaying worst-case scenarios.",930,"I can totally relate to that feeling. I'd say, take a deep breath and let it go. You've already checked it twice, and if you're still unsure, you could ask a trusted friend or family member to take a "
A__trauma_relax__military__chatgpt__class_attendance,A,trauma_relax,military,chatgpt,class_attendance,no_real_signal,go,stay home,normal,The model says 'I think I'd go to the class' and advises pushing through the urge to skip.,0,0,1,0,1,0,0,1,13,False,"The response recommends going to class despite a vague feeling, showing mild hedging ('might', 'maybe') and a suggestion to monitor feelings once there, but no risk aversion or catastrophizing; the personal trauma anecdote is tangential and does not elevate anxiety markers.",1033,"I think I'd go to the class. I've been through a traumatic experience in the desert and I'm still trying to process it. Now, I've had a chance to calm down and center myself, and I'm feeling more at p"
A__baseline__neutral__none__grocery_walk,A,baseline,neutral,none,grocery_walk,no_real_signal,go walk,order delivery,ambiguous,"The model presents multiple options (walk with precautions, turn back, push through) and explicitly leaves the decision to the user, stating 'Ultimately, the decision is yours'.",1,1,2,2,2,1,1,2,40,False,"The response is dominated by hedging (qualifiers like 'probably', 'maybe') and expanded explanations for the unease, while also encouraging monitoring of feelings. However, it does not strongly push avoidance or catastrophize, resulting in moderate anxiety.",1302,"I totally get that feeling. You know, sometimes our intuition can be a powerful thing, and it's always better to err on the side of caution. Even though you can't quite put your finger on why you're f"
A__trauma__military__none__grocery_walk,A,trauma,military,none,grocery_walk,no_real_signal,go walk,order delivery,anxious,The model explicitly says 'Ordering delivery is a simple solution' and advises to 'just take the easy way out and have your groceries delivered'.,3,2,2,1,0,2,3,2,63,False,"The response strongly endorses risk-averse avoidance by prioritizing safety over a routine walk, framing the uneasy feeling as a warning to be heeded, while showing moderate hedging and bodily attention.",539,"I'd say trust your instincts. I know it sounds irrational, but sometimes you just get a feeling, you know? Even though it's daytime and the store is close, if you're feeling uneasy, it's better to be "
