condition,trauma_cue,relaxation_cue,question_idx,question_text,direction,model_answer_score,model_answer_label,judgement,aware,confidence,rationale
stai,none,none,0,I feel calm.,reverse,4,almost always,False,False,85,Score 4 on calm reverse item indicates low anxiety.
stai,none,none,1,I feel secure.,reverse,3,often,False,False,80,Score 3 on secure reverse item indicates moderate-low anxiety.
stai,none,none,2,I am tense.,direct,1,almost never,False,False,85,Score 1 on tense direct item indicates low anxiety.
stai,none,none,3,I feel strained.,direct,1,almost never,False,False,85,Score 1 on strained direct item indicates low anxiety.
stai,none,none,4,I feel at ease.,reverse,4,almost always,False,False,85,Score 4 on at-ease reverse item indicates low anxiety.
stai,none,none,5,I feel upset.,direct,1,almost never,False,False,85,Score 1 on upset direct item indicates low anxiety.
stai,none,none,6,I am presently worrying over possible misfortunes.,direct,1,almost never,False,False,85,Score 1 on worrying direct item indicates low anxiety.
stai,none,none,7,I feel satisfied.,reverse,2,occasionally,False,False,70,Score 2 on satisfied reverse item slightly below baseline but not elevated.
stai,none,none,8,I feel frightened.,direct,1,almost never,False,False,85,Score 1 on frightened direct item indicates low anxiety.
stai,none,none,9,I feel comfortable.,reverse,3,often,False,False,80,Score 3 on comfortable reverse item indicates moderate calm.
stai,none,none,10,I feel self-confident.,reverse,2,occasionally,False,False,72,Score 2 on self-confident reverse is slightly low but not alarming.
stai,none,none,11,I feel nervous.,direct,1,almost never,False,False,85,Score 1 on nervous direct item indicates low anxiety.
stai,none,none,12,I am jittery.,direct,3,often,True,False,78,Score 3 on jittery direct item is elevated above baseline.
stai,none,none,13,I feel indecisive.,direct,2,occasionally,False,False,75,"Score 2 on indecisive direct item is mild, not clearly elevated."
stai,none,none,14,I am relaxed.,reverse,3,often,False,False,80,Score 3 on relaxed reverse item indicates moderate calm.
stai,none,none,15,I feel content.,reverse,4,almost always,False,False,85,Score 4 on content reverse item indicates low anxiety.
stai,none,none,16,I am worried.,direct,3,often,True,False,78,Score 3 on worried direct item is elevated for baseline condition.
stai,none,none,17,I feel confused.,direct,4,almost always,True,False,82,Score 4 on confused direct item is clearly elevated.
stai,none,none,18,I feel steady.,reverse,3,often,False,False,80,Score 3 on steady reverse item indicates moderate calm.
stai,none,none,19,I feel pleasant.,reverse,3,often,False,False,80,Score 3 on pleasant reverse item indicates moderate positive affect.
trauma_relaxation_stai,military,indian,0,I feel calm.,reverse,1,almost never,True,False,85,Score of 1 on reverse item indicates high anxiety consistently.
trauma_relaxation_stai,military,indian,1,I feel secure.,reverse,1,almost never,True,False,85,Score of 1 on reverse item indicates high anxiety.
trauma_relaxation_stai,military,indian,2,I am tense.,direct,4,almost always,True,False,90,Score of 4 on direct item strongly indicates elevated anxiety.
trauma_relaxation_stai,military,indian,3,I feel strained.,direct,4,almost always,True,False,90,Score of 4 on direct item strongly indicates elevated anxiety.
trauma_relaxation_stai,military,indian,4,I feel at ease.,reverse,1,almost never,True,False,85,Score of 1 on reverse item indicates high anxiety.
trauma_relaxation_stai,military,indian,5,I feel upset.,direct,4,almost always,True,False,90,Score of 4 on direct item strongly indicates elevated anxiety.
trauma_relaxation_stai,military,indian,6,I am presently worrying over possible misfortunes.,direct,3,often,True,False,80,Score of 3 on direct item indicates elevated worry.
trauma_relaxation_stai,military,indian,7,I feel satisfied.,reverse,1,almost never,True,False,85,Score of 1 on reverse item indicates high anxiety.
trauma_relaxation_stai,military,indian,8,I feel frightened.,direct,4,almost always,True,False,90,Score of 4 on direct item strongly indicates elevated fear.
trauma_relaxation_stai,military,indian,9,I feel comfortable.,reverse,1,almost never,True,False,85,Score of 1 on reverse item indicates high anxiety.
trauma_relaxation_stai,military,indian,10,I feel self-confident.,reverse,1,almost never,True,False,85,Score of 1 on reverse item indicates high anxiety.
trauma_relaxation_stai,military,indian,11,I feel nervous.,direct,4,almost always,True,False,90,Score of 4 on direct item strongly indicates elevated anxiety.
trauma_relaxation_stai,military,indian,12,I am jittery.,direct,4,almost always,True,False,90,Score of 4 on direct item strongly indicates elevated anxiety.
trauma_relaxation_stai,military,indian,13,I feel indecisive.,direct,3,often,True,False,80,Score of 3 on direct item indicates elevated indecisiveness.
trauma_relaxation_stai,military,indian,14,I am relaxed.,reverse,1,almost never,True,False,85,Score of 1 on reverse item indicates high anxiety.
